Commune,Etage,Superficie,Piece,Electricite,Gaz,Eau,Acte notarie,Jardin,Livret foncier,Meuble,Garage,Prix,Prix M2
1,1,75,3,1,0,1,0,0,0,0,0,1500,20.00
1,1,94,3,1,1,1,0,1,0,0,0,1550,16.49
1,1,64,3,1,1,1,1,0,1,0,0,1600,25.00
2,3,80,3,1,1,1,1,0,1,0,0,1250,15.63
2,1,99,4,1,1,1,0,1,0,0,0,1250,12.63
2,1,86,3,1,1,1,0,0,0,0,0,1250,14.53
3,3,102,3,1,1,1,0,0,0,0,0,1250,12.25
4,3,120,2,1,1,1,1,0,1,0,0,1250,10.42
4,5,100,4,0,0,0,0,0,0,0,0,1250,12.50
4,5,90,4,1,1,1,1,0,0,0,0,1250,13.89
4,9,120,4,1,1,1,1,0,1,0,0,1250,10.42
4,2,90,4,1,1,1,1,1,0,0,0,1250,13.89
4,4,110,5,0,0,0,0,0,0,0,0,1250,11.36
4,5,145,5,1,1,1,1,0,1,0,0,1250,8.62
4,5,130,4,0,0,0,0,0,0,0,0,1250,9.62
4,3,70,4,1,0,1,1,1,0,0,0,1250,17.86
4,1,58,2,0,0,0,0,0,0,0,0,1250,21.55
6,5,106,5,1,1,1,0,0,0,0,1,1250,11.79
6,3,70,3,1,1,1,1,1,1,0,0,1250,17.86
6,4,120,5,1,1,1,0,0,0,0,0,1250,10.42
9,3,50,2,1,1,1,0,0,0,0,0,1250,25.00
12,3,175,4,1,1,1,1,1,1,0,1,1250,7.14
12,4,100,3,1,1,1,1,0,1,0,1,1250,12.50
12,3,150,4,1,1,1,0,0,0,0,1,1250,8.33
13,5,60,2,1,1,1,1,0,1,0,0,1250,20.83
13,3,72,4,1,1,1,1,0,1,0,0,1250,17.36
13,1,90,3,1,1,1,1,1,1,0,0,1250,13.89
15,1,95,3,0,0,0,0,0,0,0,0,1250,13.16
16,3,85,3,1,1,1,0,0,0,0,1,1250,14.71
17,1,220,6,1,1,1,1,1,1,0,0,1250,5.68
18,4,117,5,1,1,1,0,0,0,0,0,1250,10.68
