Quartier,Commune,Etage,Superficie,Piece,Electricite,Gaz,Eau,Acte notarie,Jardin,Livret foncier,Meuble,Garage,Prix
   630   24  02  10     ,Ain Naadja,3.0,71,3.0,1,1,1,0,0,1,0,0,3100.0
safsafa,Ain Naadja,3.0,75,3.0,0,0,0,1,0,1,0,0,1400.0
ain naadja,Ain Naadja,1.0,73,3.0,1,1,1,1,0,1,0,0,1500.0
Safsafa,Ain Naadja,3.0,113,4.0,1,1,0,1,0,1,0,1,1200.0
2248 logts,Ain Naadja,1.0,76,3.0,0,0,0,0,0,0,0,0,1850.0
 ,Ain Naadja,1.0,73,3.0,1,1,1,0,0,0,0,1,1700.0
ain naadja,Ain Naadja,2.0,75,3.0,1,1,1,0,1,0,0,0,1400.0
1630 logts,Ain Naadja,4.0,74,3.0,0,0,0,0,0,0,0,0,1400.0
630 LOGEMENTS,Ain Naadja,1.0,72,3.0,1,1,1,0,0,1,0,0,1200.0
9aress,Ain Naadja,5.0,72,3.0,0,0,0,0,0,0,0,0,1800.0
EN FACE MARCHE AIN NAADJA,Ain Naadja,4.0,71,3.0,0,0,0,0,0,0,0,0,1400.0
2248 logts,Ain Naadja,1.0,70,3.0,1,1,1,1,0,1,0,0,1200.0
Safsafa,Ain Naadja,5.0,105,4.0,1,1,1,1,0,1,0,0,1850.0
djesser constontin,Ain Naadja,1.0,82,3.0,1,1,1,1,0,0,0,0,3800.0
cite 1074lgts (face tat major).,Ain Naadja,1.0,74,3.0,1,1,1,1,0,1,0,0,1200.0
  ,Ain Naadja,2.0,85,3.0,1,1,1,1,0,1,0,0,1500.0
Chteau,Ain Naadja,1.0,75,3.0,0,0,0,0,0,0,0,0,1300.0
ain naadja el kdima ,Ain Naadja,6.0,84,3.0,0,0,0,0,0,0,0,0,1950.0
Quartier 1306,Ain Naadja,3.0,75,4.0,0,0,0,0,0,0,0,0,1300.0
cit 1074 logts ,Ain Naadja,3.0,85,4.0,1,1,1,0,0,0,1,0,1950.0
3in lmlha,Ain Naadja,1.0,73,3.0,1,1,1,1,0,0,0,0,1100.0
1074 logts,Ain Naadja,3.0,85,4.0,0,0,0,0,0,0,0,0,4700.0
el Hama,Ain Naadja,3.0,95,4.0,1,1,1,1,1,1,0,0,1350.0
La placette 630 lgmt,Ain Naadja,3.0,70,3.0,1,1,1,1,0,0,0,0,1200.0
Ain nadja Cite 385 logent CNAP ,Ain Naadja,1.0,90,4.0,1,1,1,0,0,0,0,0,1720.0
Cit 1306 logts,Ain Naadja,1.0,75,3.0,1,1,1,1,0,0,0,0,1500.0
2 eme arret cite 720 logements,Ain Naadja,5.0,82,4.0,1,1,1,1,0,0,0,0,1500.0
Chteau,Ain Naadja,4.0,75,4.0,0,0,0,0,0,0,0,0,1300.0
Ain malha,Ain Naadja,1.0,70,3.0,1,1,1,1,0,0,0,0,1700.0
Sefsafa,Ain Naadja,2.0,109,4.0,1,0,1,0,0,0,0,1,1200.0
Vieux Ain Naadja,Ain Naadja,1.0,111,4.0,1,1,1,1,0,1,0,0,1550.0
Ain naadja,Ain Naadja,1.0,75,3.0,0,0,0,0,0,0,0,0,1200.0
safsafa,Ain Naadja,4.0,88,3.0,1,1,1,1,0,1,0,0,1200.0
Chteau d eau,Ain Naadja,1.0,72,3.0,0,0,0,0,0,0,0,0,2700.0
Pompe  essence devant le mtro,Ain Naadja,5.0,110,5.0,1,1,1,0,0,0,0,0,1300.0
cit 2248 Logements (les tours ) ,Ain Naadja,5.0,88,4.0,1,1,1,1,0,0,0,0,1800.0
el ouad,Ain Naadja,5.0,73,3.0,1,1,1,1,0,0,0,0,1300.0
 cot station mtro,Ain Naadja,5.0,80,3.0,1,1,1,0,0,0,0,0,1600.0
286 logement,Ain Naadja,4.0,75,3.0,1,1,1,0,0,0,0,0,1800.0
El malha. Ain naadja,Ain Naadja,5.0,72,3.0,1,1,1,1,0,0,0,0,1800.0
Vieux Ain naadja,Ain Naadja,3.0,113,4.0,0,0,0,0,0,0,0,0,1800.0
safsafa,Ain Naadja,4.0,105,4.0,1,1,1,1,0,1,0,0,2000.0
