Commune,Etage,Superficie,Piece,Electricite,Gaz,Eau,Acte notarie,Jardin,Livret foncier,Meuble,Garage,Prix
4,3.0,93,4.0,1,1,1,1,0,0,1,0,1000.0
4,4.0,110,4.0,1,1,1,1,0,1,0,0,1100.0
4,5.0,100,4.0,0,0,0,0,0,0,0,0,1250.0
4,4.0,110,4.0,1,1,1,1,0,1,0,0,1700.0
4,1.0,48,2.0,1,1,1,1,0,1,0,0,1200.0
4,5.0,90,4.0,1,1,1,1,0,0,0,0,1250.0
4,5.0,86,4.0,1,1,1,0,0,0,0,0,1400.0
4,1.0,96,4.0,1,1,1,1,0,1,0,0,1500.0
4,1.0,137,5.0,1,1,1,0,0,0,0,0,1900.0
4,8.0,90,3.0,1,1,1,1,0,1,1,0,1800.0
4,4.0,90,4.0,1,1,1,1,0,1,0,0,2200.0
4,2.0,107,4.0,1,1,1,1,0,1,0,0,1400.0
4,1.0,90,3.0,1,1,1,1,0,1,0,0,1600.0
4,4.0,80,3.0,1,1,1,1,0,1,0,0,1700.0
4,6.0,75,3.0,1,1,1,0,0,1,0,0,1700.0
4,8.0,165,5.0,0,0,0,0,0,0,0,0,2800.0
4,3.0,115,5.0,0,0,0,1,0,0,0,0,1700.0
4,5.0,170,5.0,0,0,0,1,0,1,0,0,1500.0
4,8.0,88,3.0,1,1,1,0,0,0,0,0,1300.0
4,9.0,120,4.0,1,1,1,1,0,1,0,0,1250.0
4,2.0,90,4.0,1,1,1,1,0,1,0,0,1300.0
4,4.0,150,6.0,1,1,1,1,0,1,0,0,2800.0
4,1.0,175,7.0,0,0,0,1,0,1,0,0,2800.0
4,3.0,170,4.0,1,1,1,1,0,0,0,0,2100.0
4,4.0,105,4.0,0,0,0,1,0,0,0,0,1650.0
4,5.0,50,3.0,1,1,1,0,0,0,0,0,1500.0
4,1.0,100,4.0,1,1,1,1,0,1,0,0,1600.0
4,1.0,110,5.0,1,1,1,1,0,1,1,1,2500.0
4,3.0,119,5.0,1,1,1,1,0,1,0,0,1050.0
4,4.0,70,3.0,1,1,1,1,0,0,1,1,1800.0
4,1.0,70,3.0,1,1,1,1,0,0,0,0,1200.0
4,4.0,190,7.0,1,1,1,1,0,1,0,0,1100.0
4,4.0,113,4.0,1,1,1,1,0,1,0,0,1300.0
4,7.0,82,4.0,1,1,1,0,0,0,0,0,1700.0
4,1.0,108,4.0,1,1,1,1,0,0,0,0,1800.0
4,5.0,155,5.0,1,1,1,1,0,0,1,0,2600.0
4,3.0,104,4.0,1,1,1,1,0,1,0,0,2000.0
4,2.0,60,3.0,0,0,0,0,0,0,1,0,1050.0
4,5.0,165,5.0,1,1,1,1,0,1,1,0,2200.0
4,2.0,118,4.0,0,0,0,0,0,0,0,0,1200.0
4,1.0,130,6.0,1,1,1,0,0,0,0,0,1850.0
4,1.0,50,2.0,1,1,1,1,1,1,0,0,1000.0
4,4.0,98,5.0,0,0,0,0,0,0,0,0,1650.0
